,city,Lat,Temperature,Humidity,Cloudiness,Wind
0,port alfred,-33.59,69.52,92,76,10.65
1,cape town,-33.93,64.4,82,0,13.87
2,tuktoyaktuk,69.44,19.4,92,90,8.05
3,busselton,-33.64,72.4,75,0,12.77
4,georgetown,6.8,77.0,100,0,4.7
5,nouadhibou,20.93,69.8,88,40,6.93
6,khatanga,71.98,11.29,90,80,7.07
7,kattivakkam,13.22,89.6,59,40,9.17
8,hobart,-42.88,60.8,54,0,18.34
9,punta arenas,-53.16,44.6,87,90,14.99
10,pevek,69.7,13.0,100,56,3.49
11,brae,60.4,40.77,81,20,21.92
12,lagos,6.46,77.0,94,20,2.24
13,carbonia,39.17,54.41,93,0,4.7
14,smithers,54.78,33.8,74,1,2.26
15,talnakh,69.49,23.66,96,92,6.73
16,rosario,-34.31,55.21,92,44,8.19
17,rikitea,-23.12,71.68,100,64,10.2
18,jamestown,-33.21,81.4,24,0,6.96
19,chapais,49.78,23.0,79,90,4.7
20,bethel,60.79,33.8,86,40,10.29
21,belinskiy,52.97,37.43,100,64,8.41
22,mancora,-4.1,61.01,95,20,6.06
23,cabo san lucas,22.89,75.2,73,5,3.36
24,kaduqli,11.01,83.69,55,48,4.05
25,severo-kurilsk,50.68,44.86,98,92,1.92
26,skeldon,5.88,80.99,100,92,13.56
27,chuy,-33.69,61.24,93,76,8.41
28,avarua,-21.21,71.6,88,90,9.17
29,at-bashi,41.17,40.31,47,20,2.71
30,pyay,18.82,85.99,86,12,8.19
31,bluff,-23.58,97.73,22,0,7.74
32,new norfolk,-42.78,60.8,62,0,18.34
33,chokurdakh,70.62,-0.19,66,8,2.93
34,port elizabeth,39.31,41.02,93,1,4.7
35,albany,42.65,32.49,86,40,3.83
36,janovice nad uhlavou,49.35,48.2,81,90,6.93
37,madarounfa,13.3,66.68,79,0,3.71
38,east london,-33.02,66.2,88,40,12.75
39,saskylakh,71.97,15.34,85,76,7.63
40,kodinsk,58.6,39.14,73,80,6.73
41,vaini,15.34,84.68,67,0,8.52
42,port-gentil,-0.72,78.38,100,24,5.95
43,ribeira grande,38.52,68.39,99,76,13.22
44,sinnamary,5.38,81.58,94,44,9.64
45,udala,43.08,53.73,100,90,3.49
46,kavieng,-2.57,80.14,100,80,9.75
47,mahebourg,-20.41,77.0,65,40,9.17
48,puerto ayora,-0.74,68.62,100,68,12.66
49,sao joao da barra,-21.64,71.54,100,100,15.68
50,husavik,50.56,44.23,95,80,8.75
51,mataura,-46.19,53.68,70,44,6.06
52,kaitangata,-46.28,52.69,70,100,3.04
